0.241323,0.246263,0.267800,0.244615
0.240806,0.258730,0.272476,0.227987
0.237569,0.251779,0.267046,0.243607
0.231581,0.255324,0.277994,0.235101
0.246669,0.234834,0.276004,0.242494
0.231497,0.207855,0.310155,0.250493
0.239029,0.223055,0.290111,0.247805
0.243188,0.258534,0.251315,0.246964
0.230399,0.242134,0.283133,0.244335
0.241088,0.239457,0.274151,0.245304
0.238298,0.242950,0.268076,0.250676
0.237824,0.250743,0.266526,0.244907
0.235877,0.255803,0.256777,0.251544
0.246135,0.232322,0.270656,0.250887
0.234287,0.230173,0.274653,0.260887
0.226611,0.224050,0.282770,0.266568
0.239968,0.226901,0.279179,0.253952
0.241613,0.246356,0.262567,0.249465
0.235615,0.263383,0.271638,0.229365
0.231314,0.217318,0.302655,0.248713
0.244317,0.236920,0.251961,0.266801
0.242724,0.250179,0.274064,0.233034
0.236697,0.258481,0.256082,0.248740
0.239621,0.244785,0.268012,0.247582
0.239143,0.252222,0.263531,0.245104
0.225276,0.247925,0.263489,0.263310
0.243256,0.235337,0.273113,0.248294
0.236433,0.246983,0.255793,0.260791
0.227222,0.213059,0.306529,0.253190
0.230765,0.238713,0.270068,0.260454
0.252590,0.230608,0.269662,0.247140
0.245019,0.232519,0.270623,0.251839
0.248064,0.232816,0.264478,0.254641
0.238905,0.251177,0.254430,0.255488
0.242351,0.235887,0.277184,0.244578
0.235430,0.267124,0.248731,0.248715
0.245612,0.245932,0.263658,0.244798
0.240735,0.218231,0.292055,0.248978
0.241230,0.219425,0.302195,0.237151
0.231728,0.254944,0.252612,0.260716
0.229654,0.224888,0.278780,0.266678
0.240823,0.235883,0.279219,0.244075
0.245098,0.235306,0.274914,0.244682
0.237075,0.265584,0.255690,0.241651
0.243331,0.239553,0.272679,0.244438
0.227548,0.249098,0.262839,0.260515
0.231732,0.233338,0.278721,0.256209
